IDTEACH,IDSCHOOL,TT3G55A,TT3G55B,TT3G55C,TT3G55D,TT3G55E,TT3G55F,TT3G55G,TT3G55H,TT3G55I,CONT
310601,3106,2,2,1,3,2,2,3,3,2,1
310602,3106,3,3,2,2,2,3,3,3,3,1
310604,3106,2,3,3,3,3,3,3,3,3,1
310605,3106,3,3,2,2,3,2,3,3,2,1
310606,3106,3,3,3,3,3,3,3,3,3,1
310607,3106,2,3,2,3,2,2,3,3,3,1
310701,3107,3,3,3,3,3,3,3,3,3,1
310702,3107,3,3,3,3,3,3,3,3,3,1
310703,3107,3,3,3,3,3,3,3,3,3,1
310705,3107,3,3,3,0,2,3,3,3,3,1
310707,3107,2,3,2,3,3,3,3,3,3,1
310708,3107,1,3,3,1,3,3,3,3,1,1
310709,3107,0,0,0,0,0,0,0,0,0,1
310710,3107,3,3,3,3,3,3,3,3,2,1
310802,3108,3,3,3,3,3,3,3,3,3,1
310803,3108,3,3,2,2,3,3,3,3,2,1
310804,3108,2,1,1,3,3,3,3,3,3,1
310805,3108,3,3,3,2,3,3,3,2,2,1
310806,3108,2,3,2,3,3,3,3,3,2,1
310807,3108,3,2,3,1,1,3,3,3,1,1
310808,3108,2,2,2,3,3,2,3,3,2,1
310809,3108,2,2,1,3,3,3,3,3,2,1
310901,3109,0,0,0,0,0,0,0,0,0,1
310903,3109,3,3,2,3,2,3,3,3,2,1
310904,3109,3,3,3,3,3,3,3,3,3,1
310905,3109,2,3,3,3,2,3,3,3,3,1
310907,3109,3,3,3,3,3,3,3,3,3,1
310908,3109,3,3,3,3,3,3,3,3,3,1
310909,3109,3,2,2,3,2,3,3,3,3,1
310911,3109,3,3,3,3,3,3,3,3,2,1
310913,3109,3,3,3,3,3,3,3,3,3,1
310915,3109,3,3,2,2,3,3,3,3,2,1
310916,3109,3,3,3,3,3,3,3,3,3,1
310917,3109,3,3,3,3,3,3,3,3,3,1
311002,3110,3,2,3,3,2,3,3,3,3,1
311003,3110,0,0,0,0,0,0,0,0,0,1
311004,3110,3,3,3,3,3,3,3,3,2,1
311005,3110,3,3,3,3,3,3,3,3,3,1
311006,3110,3,3,3,3,3,3,3,3,2,1
311009,3110,3,3,3,3,3,3,3,3,3,1
311010,3110,2,2,2,2,3,2,2,3,1,1
311012,3110,3,3,3,3,3,3,3,3,3,1
311013,3110,3,3,3,3,3,3,3,3,3,1
311014,3110,3,3,3,3,3,3,3,3,2,1
311015,3110,3,3,3,3,3,1,3,3,2,1
311016,3110,0,0,0,0,0,0,0,0,0,1
311017,3110,2,2,3,3,3,3,3,3,3,1
311018,3110,3,3,3,3,3,3,3,3,3,1
311019,3110,3,3,3,3,3,3,3,3,3,1
311020,3110,3,2,3,3,2,3,3,2,2,1
311101,3111,2,2,2,3,3,3,3,3,2,1
311103,3111,2,2,2,1,3,3,2,3,3,1
311104,3111,3,2,2,3,3,3,3,3,3,1
311105,3111,0,0,0,0,0,0,0,0,0,1
311106,3111,2,3,2,3,3,2,2,3,3,1
311107,3111,3,2,3,3,3,3,3,2,2,1
311109,3111,3,2,1,3,3,3,3,3,3,1
311110,3111,3,3,3,3,3,3,3,3,3,1
311111,3111,3,3,2,3,3,3,3,3,3,1
311112,3111,3,3,2,3,2,3,3,3,2,1
311114,3111,2,2,2,3,2,3,3,3,2,1
311115,3111,3,2,2,3,3,3,3,2,2,1
311117,3111,2,3,3,3,3,3,3,3,3,1
311118,3111,2,3,3,3,3,3,3,3,3,1
311119,3111,3,3,3,3,3,3,3,3,3,1
311120,3111,3,3,3,3,3,3,3,3,3,1
311121,3111,3,2,1,2,2,2,3,3,3,1
311123,3111,3,3,3,3,3,3,3,3,3,1
311124,3111,3,3,3,3,3,3,3,3,3,1
311125,3111,3,0,3,3,3,3,3,3,3,1
311126,3111,2,3,3,3,3,3,3,3,3,1
311127,3111,2,2,3,3,3,3,3,3,3,1
311128,3111,3,3,3,3,3,3,3,3,3,1
311201,3112,3,3,3,3,3,3,3,3,3,1
311202,3112,3,3,3,3,3,3,3,3,2,1
311203,3112,3,3,3,3,3,3,3,3,3,1
311204,3112,3,3,3,3,3,3,3,3,3,1
311205,3112,3,3,3,3,3,3,3,3,3,1
311206,3112,3,3,3,3,3,3,3,3,2,1
311207,3112,2,3,2,2,3,3,3,3,2,1
311208,3112,2,3,2,3,3,3,3,3,1,1
311301,3113,3,3,3,3,3,3,3,3,3,1
311302,3113,1,1,2,1,1,2,1,1,1,1
311303,3113,2,2,2,2,2,2,2,2,2,1
311304,3113,3,2,1,3,3,3,3,3,3,1
311305,3113,3,3,3,3,3,3,3,3,2,1
311306,3113,2,2,2,3,1,2,3,3,3,1
311307,3113,2,1,2,3,3,3,3,3,3,1
311308,3113,1,1,1,3,0,1,1,3,1,1
311309,3113,2,2,2,3,3,3,3,3,3,1
311310,3113,2,2,3,3,3,2,3,3,3,1
311312,3113,3,3,3,3,3,3,3,3,3,1
311313,3113,3,3,2,3,3,2,3,3,3,1
311314,3113,2,2,3,2,2,3,3,3,2,1
311315,3113,2,1,2,3,3,3,3,3,3,1
311316,3113,3,2,2,3,3,3,3,3,3,1
311317,3113,1,1,1,3,3,3,3,3,3,1
311318,3113,2,2,2,3,3,2,3,3,2,1
311401,3114,0,0,0,0,0,0,0,0,0,1
311402,3114,3,3,1,3,3,3,3,3,3,1
311403,3114,2,3,0,3,3,3,3,3,3,1
311404,3114,2,2,2,2,3,3,3,3,3,1
311406,3114,0,0,0,0,0,0,0,0,0,1
311408,3114,3,3,3,3,3,3,3,3,3,1
311409,3114,3,3,2,3,3,3,3,3,3,1
311410,3114,2,3,2,3,3,3,3,3,3,1
311411,3114,2,2,2,2,3,2,3,3,2,1
311501,3115,2,3,2,3,1,2,3,3,3,1
311502,3115,3,3,3,3,2,3,3,3,3,1
311503,3115,3,3,3,3,3,3,3,3,3,1
311504,3115,2,1,3,3,3,3,3,3,3,1
311505,3115,2,3,3,3,3,3,3,3,2,1
311506,3115,3,3,3,3,3,3,3,3,1,1
311507,3115,3,3,3,3,2,3,3,3,3,1
311508,3115,3,1,2,3,2,2,3,3,2,1
311509,3115,2,2,2,3,1,3,3,3,1,1
311510,3115,3,2,2,3,2,3,3,3,3,1
311511,3115,0,0,3,3,0,0,3,0,0,1
311512,3115,3,2,2,3,1,3,3,3,3,1
311513,3115,3,3,3,2,3,3,3,3,2,1
311514,3115,2,2,3,3,2,3,3,3,3,1
311515,3115,3,2,3,3,3,2,3,3,3,1
311516,3115,3,3,3,3,3,3,3,3,3,1
311517,3115,2,2,3,3,3,3,3,2,3,1
311518,3115,3,3,3,3,2,3,3,3,3,1
311519,3115,1,2,2,3,3,2,3,2,3,1
311520,3115,3,3,3,3,3,3,3,3,2,1
311601,3116,3,3,3,3,3,3,3,3,3,1
311602,3116,3,3,2,3,3,3,3,3,3,1
311603,3116,3,3,3,2,3,3,3,3,3,1
311604,3116,3,2,3,3,3,3,3,3,3,1
311605,3116,2,2,2,3,3,3,3,3,2,1
311607,3116,3,3,3,3,3,3,3,3,3,1
311608,3116,3,3,3,3,3,3,3,3,3,1
311609,3116,2,2,2,3,3,3,3,3,2,1
311610,3116,3,3,3,3,3,3,3,3,3,1
311611,3116,3,3,2,3,3,3,3,3,3,1
311612,3116,3,2,3,3,3,3,3,3,3,1
311613,3116,3,3,3,3,3,3,3,3,3,1
311614,3116,3,3,3,3,3,3,3,3,3,1
311615,3116,3,3,3,3,3,3,3,3,3,1
311616,3116,3,3,3,3,2,3,3,3,3,1
311617,3116,3,1,2,2,3,3,3,3,3,1
311618,3116,3,1,1,2,3,2,3,3,3,1
311701,3117,3,3,3,3,3,3,3,3,3,1
311702,3117,2,2,2,3,3,3,3,3,2,1
311703,3117,3,3,2,2,3,3,3,3,3,1
311704,3117,3,3,3,3,3,3,3,3,3,1
311706,3117,0,0,0,0,0,0,0,0,0,1
311708,3117,3,3,1,3,3,3,3,3,3,1
311709,3117,2,3,2,3,2,3,3,3,3,1
311711,3117,3,3,3,3,3,3,3,3,3,1
311712,3117,3,3,3,2,2,2,2,2,3,1
311713,3117,3,3,3,3,3,3,3,3,3,1
311714,3117,2,2,3,3,1,3,3,3,3,1
311715,3117,2,2,3,3,3,3,3,3,3,1
311716,3117,3,3,3,2,3,3,3,3,3,1
311801,3118,3,3,3,3,3,3,3,3,2,1
311802,3118,3,2,3,2,3,3,3,3,2,1
311804,3118,2,3,2,3,3,2,3,3,2,1
311805,3118,3,2,1,3,3,3,3,3,2,1
311806,3118,3,3,1,3,3,2,3,3,2,1
311807,3118,3,3,2,3,3,3,3,3,3,1
311808,3118,3,3,1,3,3,3,3,3,3,1
311809,3118,3,3,3,3,3,3,3,3,3,1
311810,3118,3,2,2,3,3,3,3,3,3,1
311811,3118,3,3,3,3,3,3,3,3,3,1
311812,3118,3,2,3,2,3,3,3,3,2,1
311813,3118,3,3,3,3,3,3,3,3,3,1
311814,3118,3,1,2,3,3,3,3,3,3,1
311815,3118,3,3,3,3,3,3,3,3,3,1
311816,3118,3,3,3,3,3,3,3,3,3,1
311817,3118,3,3,3,3,3,3,3,3,3,1
311818,3118,3,3,1,3,3,3,3,3,3,1
311819,3118,3,3,2,3,3,3,3,3,3,1
311821,3118,3,3,3,3,3,3,3,3,3,1
311822,3118,3,3,3,3,3,3,3,3,3,1
311823,3118,3,3,2,3,3,3,3,3,3,1
311824,3118,3,3,2,3,3,3,3,3,3,1
311901,3119,3,2,2,3,3,2,3,3,3,1
311902,3119,3,2,3,3,3,3,3,3,3,1
311903,3119,3,3,1,3,3,3,3,3,1,1
311904,3119,3,3,3,3,3,3,3,3,2,1
311905,3119,3,3,3,3,3,3,3,3,3,1
311906,3119,3,3,3,3,3,3,3,3,2,1
311907,3119,3,2,3,3,3,3,3,3,3,1
311908,3119,3,1,1,3,3,3,3,3,3,1
311909,3119,3,3,2,3,3,3,3,3,3,1
311910,3119,3,2,3,3,3,3,3,3,3,1
311911,3119,3,2,3,3,3,3,3,3,3,1
311912,3119,3,2,2,3,3,3,3,3,3,1
311913,3119,3,3,3,2,3,3,2,3,3,1
311914,3119,2,2,2,3,3,3,3,3,3,1
311915,3119,3,2,3,3,3,3,3,3,3,1
311916,3119,2,2,3,3,3,3,3,2,3,1
311917,3119,3,3,2,3,3,3,3,3,3,1
311918,3119,1,1,1,3,3,3,3,3,3,1
311919,3119,3,3,1,2,3,3,3,3,3,1
311920,3119,3,2,1,3,3,2,3,3,2,1
312001,3120,3,3,2,3,3,3,3,3,2,1
312002,3120,3,2,2,3,3,2,3,3,1,1
312003,3120,3,3,2,3,3,3,3,3,2,1
312004,3120,3,2,2,3,3,2,3,3,2,1
312005,3120,3,2,2,3,3,2,3,3,2,1
312006,3120,3,2,2,3,3,2,3,3,1,1
312007,3120,3,2,2,3,3,2,3,3,1,1
312101,3121,2,2,2,3,3,3,3,3,3,1
312102,3121,0,0,0,0,0,0,0,0,0,1
312103,3121,3,2,2,3,3,2,2,3,2,1
312104,3121,2,2,3,3,3,3,3,3,3,1
312105,3121,3,3,3,3,3,3,3,3,3,1
312106,3121,3,3,3,3,3,3,3,3,3,1
312107,3121,3,3,3,3,3,3,3,3,3,1
312108,3121,3,3,3,3,3,3,3,3,3,1
312109,3121,2,3,3,3,3,3,3,3,2,1
312110,3121,2,3,2,2,3,3,3,3,2,1
312111,3121,2,2,1,3,2,3,3,3,3,1
312112,3121,3,3,2,3,3,3,3,3,1,1
312113,3121,3,3,2,3,1,3,3,3,3,1
312114,3121,2,2,2,2,2,2,2,2,2,1
312115,3121,3,3,3,3,3,3,3,3,3,1
312116,3121,0,0,1,2,0,0,2,0,0,1
312117,3121,2,3,3,3,2,3,3,3,2,1
312118,3121,3,3,3,3,3,3,3,3,3,1
312119,3121,3,2,3,3,3,3,3,3,3,1
312120,3121,2,2,1,3,3,3,3,3,2,1
312121,3121,3,3,3,3,3,3,3,3,3,1
312122,3121,3,3,3,3,3,3,3,3,3,1
312123,3121,3,3,3,3,3,3,3,3,3,1
312124,3121,0,0,0,0,0,0,0,0,0,1
312125,3121,0,0,0,0,0,0,0,0,0,1
312201,3122,2,3,3,3,3,3,3,3,3,1
312202,3122,3,3,1,3,3,3,3,3,3,1
312203,3122,3,3,3,3,3,3,3,3,3,1
312204,3122,3,3,3,2,3,3,3,3,3,1
312205,3122,3,3,3,3,3,3,3,3,3,1
312206,3122,3,3,3,3,3,3,3,3,3,1
312207,3122,2,3,3,3,2,2,3,3,2,1
312208,3122,3,3,3,3,3,3,3,3,3,1
312209,3122,3,3,3,3,3,3,3,3,3,1
312210,3122,3,3,3,3,3,3,3,3,3,1
312211,3122,0,0,0,0,0,0,0,0,0,1
312212,3122,3,3,3,3,3,3,3,3,3,1
312213,3122,3,3,3,3,3,3,3,3,2,1
312214,3122,3,3,2,3,3,3,3,3,3,1
312215,3122,3,3,3,3,3,3,3,3,3,1
312301,3123,3,3,3,3,3,3,3,3,3,1
312303,3123,3,3,3,2,1,3,3,3,3,1
312304,3123,3,2,2,3,3,3,3,3,3,1
312305,3123,1,1,1,1,1,1,1,1,1,1
312306,3123,3,3,2,3,3,3,3,3,3,1
312307,3123,0,0,0,0,0,0,0,0,0,1
312308,3123,3,3,3,3,3,3,3,3,3,1
312309,3123,3,3,3,3,3,3,3,3,3,1
312310,3123,2,2,2,2,2,2,2,0,2,1
312311,3123,3,3,3,3,3,3,3,3,3,1
312312,3123,3,3,3,2,3,3,3,3,3,1
312313,3123,3,3,3,3,3,3,3,3,3,1
312401,3124,0,0,0,0,0,0,0,0,0,1
312402,3124,3,3,3,3,3,3,3,3,3,1
312403,3124,2,3,3,3,3,3,3,2,2,1
312404,3124,3,2,2,3,3,2,3,3,3,1
312406,3124,2,3,2,3,3,3,3,3,3,1
312409,3124,3,3,2,3,3,3,3,3,2,1
312410,3124,2,1,2,3,1,3,3,3,1,1
312411,3124,3,3,2,3,3,3,3,3,3,1
312413,3124,3,3,3,3,2,3,3,3,2,1
312414,3124,3,2,1,3,3,2,3,3,2,1
312415,3124,3,3,3,3,3,3,3,3,3,1
312416,3124,3,2,3,3,3,3,3,3,2,1
312417,3124,3,2,3,3,3,3,3,3,3,1
312418,3124,3,3,3,3,3,3,3,3,3,1
312419,3124,2,2,1,3,2,2,3,3,3,1
312502,3125,3,3,3,3,3,3,3,3,3,1
312503,3125,3,2,1,2,1,3,3,3,1,1
312504,3125,2,3,3,3,3,3,3,3,3,1
312505,3125,1,3,2,3,2,2,3,3,3,1
312506,3125,0,0,0,0,0,0,0,0,0,1
312507,3125,3,3,2,2,1,3,3,3,2,1
312508,3125,3,3,3,3,1,3,3,3,2,1
312509,3125,3,3,2,3,3,3,3,3,3,1
312510,3125,3,3,3,2,3,3,3,3,3,1
312511,3125,3,3,3,3,3,3,3,3,3,1
312512,3125,3,3,3,3,3,3,3,3,3,1
312605,3126,3,3,3,3,3,3,3,3,2,1
312606,3126,3,3,3,3,3,3,3,3,3,1
312607,3126,3,3,3,3,3,3,3,3,3,1
312609,3126,3,3,3,3,3,3,3,3,3,1
312611,3126,3,3,3,3,2,3,3,3,3,1
312612,3126,2,3,2,3,3,2,3,3,2,1
312613,3126,3,2,2,2,3,2,3,3,2,1
312614,3126,3,3,1,3,3,3,3,3,3,1
312616,3126,3,3,3,3,3,3,3,3,3,1
312701,3127,3,3,3,3,3,3,3,3,3,1
312702,3127,3,3,3,3,3,3,3,3,1,1
312703,3127,3,3,3,3,3,3,3,3,3,1
312704,3127,3,3,2,3,3,3,3,3,3,1
312705,3127,3,2,3,2,3,3,3,3,3,1
312706,3127,3,3,2,2,3,3,3,3,3,1
312707,3127,3,3,3,3,3,3,3,3,3,1
312708,3127,3,3,2,2,3,3,3,3,3,1
312709,3127,3,3,3,3,3,3,3,3,2,1
312710,3127,0,0,0,0,0,0,0,0,0,1
312801,3128,2,2,2,3,3,3,3,3,3,1
312802,3128,0,0,0,0,0,0,0,0,0,1
312805,3128,3,2,3,3,3,3,3,3,1,1
312806,3128,3,3,3,3,3,3,3,3,3,1
312903,3129,3,3,3,3,3,3,3,3,3,1
312904,3129,3,3,3,3,3,0,3,3,3,1
312905,3129,2,2,2,3,3,3,3,3,3,1
312906,3129,2,2,2,3,3,3,3,3,3,1
312907,3129,2,2,2,3,3,3,3,3,3,1
312908,3129,3,3,3,3,3,3,3,3,3,1
312909,3129,3,3,3,3,3,3,3,3,3,1
312910,3129,3,3,3,3,3,3,3,3,3,1
312911,3129,3,3,3,3,3,3,3,3,3,1
312912,3129,3,3,3,3,3,3,3,3,3,1
312913,3129,2,1,1,2,2,2,2,2,2,1
312914,3129,2,2,2,3,3,3,3,3,3,1
312915,3129,2,2,2,3,3,3,3,3,3,1
312916,3129,3,3,3,3,3,3,3,3,2,1
312917,3129,2,2,2,3,3,3,3,3,3,1
312918,3129,3,3,3,3,3,3,3,3,3,1
312919,3129,2,2,2,3,3,3,3,3,3,1
313001,3130,2,3,2,2,3,3,3,3,2,1
313002,3130,3,3,3,1,3,3,3,3,3,1
313003,3130,3,3,3,3,3,3,3,3,3,1
313004,3130,2,2,3,2,3,3,3,3,2,1
313005,3130,2,2,2,2,2,2,2,2,2,1
313006,3130,3,3,3,3,2,3,3,3,3,1
313007,3130,3,2,3,2,3,3,3,3,3,1
313008,3130,2,3,2,3,3,3,3,3,3,1
313101,3131,3,3,3,2,2,3,3,3,3,1
313102,3131,3,3,3,3,3,3,3,3,1,1
313103,3131,3,3,3,3,3,3,3,3,1,1
313104,3131,3,3,3,3,3,3,3,3,1,1
313105,3131,3,3,3,2,3,3,3,3,2,1
313106,3131,3,3,3,3,3,3,3,3,1,1
313107,3131,3,3,3,3,3,3,3,3,1,1
313201,3132,3,3,3,3,3,3,3,3,3,1
313202,3132,3,3,3,3,3,3,3,3,3,1
313203,3132,3,3,3,3,3,3,3,3,3,1
313204,3132,3,3,3,2,3,3,3,2,1,1
313205,3132,2,2,2,2,2,2,2,2,2,1
313206,3132,2,2,2,2,2,2,3,3,3,1
313207,3132,3,3,3,3,3,3,3,3,2,1
313208,3132,3,2,3,3,3,3,3,3,3,1
313209,3132,3,2,3,3,3,3,3,3,3,1
313210,3132,3,3,2,3,3,3,3,3,3,1
313211,3132,2,3,1,3,3,3,3,3,3,1
313212,3132,1,1,1,3,3,3,3,3,3,1
313213,3132,3,3,3,3,3,3,3,3,2,1
313214,3132,3,3,3,3,3,3,3,3,3,1
313215,3132,3,3,3,3,3,3,3,3,2,1
313216,3132,1,1,3,3,3,3,3,3,1,1
313217,3132,2,3,2,3,3,3,3,3,3,1
313218,3132,3,3,3,3,3,3,3,3,3,1
313219,3132,3,3,3,3,3,3,3,3,3,1
313220,3132,3,3,3,3,3,3,3,3,3,1
313302,3133,3,3,3,3,3,3,3,3,3,1
313303,3133,2,3,3,3,3,3,3,3,3,1
313304,3133,3,3,3,3,3,3,3,3,3,1
313305,3133,3,3,3,3,3,3,3,3,3,1
313306,3133,3,2,3,3,2,3,3,2,2,1
313401,3134,3,2,3,2,3,3,3,3,1,1
313402,3134,3,3,3,3,3,3,3,3,3,1
313403,3134,3,1,3,3,3,3,3,3,3,1
313404,3134,3,3,3,3,3,3,3,3,2,1
313406,3134,3,3,3,3,3,3,3,3,3,1
313409,3134,3,2,2,3,1,2,3,3,2,1
313410,3134,3,3,3,3,3,3,3,3,3,1
313411,3134,3,3,3,3,3,3,3,3,3,1
313412,3134,2,2,2,2,2,2,2,0,0,1
313414,3134,3,3,3,1,3,3,3,3,2,1
313415,3134,2,3,2,3,3,3,3,3,2,1
313416,3134,0,0,0,0,0,0,0,0,0,1
313417,3134,3,3,3,3,3,3,3,3,0,1
313418,3134,3,3,3,3,3,3,3,3,3,1
313419,3134,3,3,2,3,3,3,3,3,3,1
313420,3134,0,0,0,0,0,0,0,0,0,1
313501,3135,3,3,3,3,3,3,3,3,3,1
313502,3135,3,3,1,3,3,3,3,3,3,1
313505,3135,3,3,2,3,2,3,3,3,2,1
313506,3135,2,2,2,3,2,3,2,3,3,1
313507,3135,1,3,3,3,3,3,3,3,3,1
313508,3135,3,3,3,3,3,3,3,3,3,1
313509,3135,3,3,3,3,3,3,3,3,3,1
313510,3135,3,3,3,3,3,3,3,3,3,1
313511,3135,3,3,3,3,3,3,3,3,3,1
313513,3135,3,3,3,3,3,3,3,3,3,1
313514,3135,3,3,3,3,3,3,3,3,2,1
313517,3135,3,3,3,3,3,3,3,3,3,1
313519,3135,3,3,3,3,3,3,3,3,3,1
313520,3135,3,3,3,3,3,3,3,3,2,1
313602,3136,2,2,2,3,3,3,3,2,3,1
313603,3136,2,3,3,3,3,3,3,3,3,1
313604,3136,3,3,3,3,3,3,3,3,3,1
313605,3136,3,3,3,3,3,3,3,3,3,1
313606,3136,1,2,1,3,3,3,3,3,3,1
313608,3136,2,2,2,2,2,2,2,2,2,1
313609,3136,3,3,3,3,3,3,3,3,3,1
313611,3136,3,2,2,3,3,3,3,3,3,1
313612,3136,0,0,0,0,0,0,0,0,0,1
313613,3136,3,3,3,3,3,3,3,3,3,1
313614,3136,3,2,2,3,3,3,3,3,2,1
313615,3136,3,3,3,3,3,3,3,3,3,1
313616,3136,2,2,2,3,3,3,3,3,3,1
313617,3136,3,2,3,3,3,3,3,3,3,1
313619,3136,3,3,3,3,3,3,3,3,3,1
313620,3136,1,1,2,3,3,3,3,3,3,1
313701,3137,3,3,2,3,3,3,3,3,2,1
313703,3137,3,2,3,3,2,3,3,3,3,1
313704,3137,3,3,2,2,2,3,3,3,1,1
313705,3137,3,1,1,3,3,2,3,3,3,1
313706,3137,3,2,2,3,3,3,3,3,2,1
313707,3137,1,1,1,3,3,1,3,3,2,1
313708,3137,3,2,1,2,2,3,3,3,3,1
313710,3137,3,3,3,3,3,3,3,3,3,1
313711,3137,3,3,3,3,3,3,3,3,3,1
313712,3137,3,3,2,2,2,2,3,3,2,1
313713,3137,2,3,2,2,3,3,3,3,2,1
313714,3137,3,2,2,3,3,2,2,3,3,1
313715,3137,3,2,1,3,3,2,3,3,2,1
313716,3137,1,1,1,1,1,1,1,1,1,1
313717,3137,1,1,3,3,2,3,3,3,3,1
313718,3137,3,2,2,3,2,3,3,3,3,1
313719,3137,3,3,3,3,3,3,3,3,3,1
313801,3138,3,3,3,3,3,3,3,3,3,1
313802,3138,1,1,1,3,2,3,3,3,3,1
313803,3138,3,3,3,3,3,3,3,3,3,1
313804,3138,2,2,1,3,3,3,3,3,3,1
313805,3138,1,2,2,3,3,3,3,3,3,1
313806,3138,3,3,3,3,3,3,3,3,2,1
313807,3138,2,2,2,3,3,3,3,3,2,1
313808,3138,3,3,3,3,3,3,3,3,3,1
313809,3138,2,3,2,2,3,3,3,3,2,1
313901,3139,3,3,2,2,1,3,3,3,1,1
313902,3139,3,2,3,2,3,3,3,3,1,1
313903,3139,3,3,2,3,3,3,3,3,3,1
313904,3139,3,3,3,3,3,3,3,3,3,1
313905,3139,2,3,3,3,3,3,3,3,3,1
313906,3139,3,3,3,3,3,3,3,3,1,1
313907,3139,3,3,3,3,3,3,3,3,3,1
313908,3139,2,2,1,2,2,2,2,2,2,1
313909,3139,3,3,3,3,3,3,3,3,3,1
313910,3139,3,3,3,3,3,3,3,3,3,1
313911,3139,3,3,3,3,3,3,3,3,3,1
313912,3139,2,2,3,3,3,3,3,3,3,1
314001,3140,3,3,3,3,3,3,3,3,3,1
314002,3140,3,1,3,3,3,3,3,3,2,1
314003,3140,3,2,3,2,2,3,3,3,2,1
314004,3140,3,3,3,3,3,3,3,3,1,1
314005,3140,3,3,3,3,3,3,3,3,3,1
314006,3140,3,1,3,3,2,3,3,3,2,1
314007,3140,3,3,3,3,3,3,3,3,2,1
314008,3140,3,3,3,3,3,3,3,3,3,1
314101,3141,3,2,2,3,3,3,3,3,3,1
314102,3141,3,3,3,3,3,3,3,3,3,1
314103,3141,3,3,2,3,3,3,3,3,3,1
314104,3141,2,1,2,3,3,3,3,3,3,1
314105,3141,2,3,2,3,3,3,2,3,2,1
314106,3141,3,3,3,3,3,3,3,3,2,1
314107,3141,3,3,3,3,3,3,3,3,3,1
314109,3141,1,2,1,3,3,1,3,3,3,1
314110,3141,2,3,1,3,3,3,3,3,1,1
314111,3141,2,3,1,3,3,3,3,3,1,1
314112,3141,3,3,3,3,3,3,3,3,3,1
314113,3141,2,2,1,3,3,3,3,3,3,1
314114,3141,2,3,3,3,3,3,3,3,3,1
314116,3141,3,3,3,3,3,3,3,3,3,1
314117,3141,1,2,3,3,3,2,2,3,2,1
314118,3141,3,3,2,3,3,3,3,3,3,1
314119,3141,3,3,2,2,3,3,3,3,2,1
314120,3141,3,3,3,3,3,3,3,3,3,1
314201,3142,3,3,3,3,3,3,3,3,3,1
314202,3142,3,3,2,3,3,2,3,3,3,1
314203,3142,3,3,2,3,3,3,3,3,2,1
314204,3142,3,3,3,3,3,3,3,3,3,1
314205,3142,2,3,2,1,3,3,3,3,3,1
314206,3142,3,3,2,3,3,2,3,3,3,1
314207,3142,3,3,3,3,3,3,3,3,2,1
314208,3142,1,2,1,2,3,3,3,3,3,1
314302,3143,3,3,3,3,3,3,3,3,3,1
314304,3143,3,3,3,3,3,3,3,3,3,1
314305,3143,3,3,2,3,3,3,3,3,2,1
314306,3143,3,3,3,3,3,3,3,3,2,1
314307,3143,2,2,2,3,3,3,3,2,3,1
314308,3143,3,3,3,3,3,3,3,3,3,1
314309,3143,3,3,3,3,3,3,3,3,3,1
314311,3143,3,3,3,3,3,3,3,3,3,1
314312,3143,3,3,3,3,3,3,3,3,3,1
314401,3144,0,0,0,0,0,0,0,0,0,1
314402,3144,3,2,2,3,3,3,3,3,3,1
314403,3144,2,3,3,3,3,3,3,3,3,1
314405,3144,0,0,0,0,0,0,0,0,0,1
314407,3144,0,0,0,0,0,0,0,0,0,1
314408,3144,3,3,3,3,3,3,3,2,1,1
314409,3144,3,1,1,3,3,3,3,3,3,1
314410,3144,2,2,1,3,3,3,3,3,1,1
314411,3144,3,3,2,3,3,3,3,3,2,1
314412,3144,3,2,2,3,3,3,3,2,3,1
314413,3144,0,0,0,0,0,0,0,0,0,1
314415,3144,2,3,2,3,3,2,3,3,3,1
314416,3144,2,1,2,3,2,3,3,2,1,1
314417,3144,3,3,3,3,3,3,3,3,3,1
314418,3144,3,3,3,3,3,3,3,3,2,1
314419,3144,3,2,2,3,3,3,3,2,2,1
314421,3144,3,3,3,2,3,3,3,3,3,1
314422,3144,3,3,3,3,3,3,3,3,3,1
314423,3144,2,3,2,3,2,2,3,3,3,1
314424,3144,3,3,3,3,3,3,3,3,2,1
314502,3145,2,2,2,3,3,3,3,3,3,1
314503,3145,2,2,3,2,3,3,3,3,2,1
314504,3145,3,3,3,3,3,3,3,3,3,1
314505,3145,3,3,3,3,3,3,3,3,3,1
314506,3145,3,3,3,2,3,3,3,3,2,1
314507,3145,2,3,2,1,3,3,2,3,2,1
314509,3145,2,2,3,3,3,3,3,3,2,1
314510,3145,3,3,2,3,3,3,3,3,3,1
314511,3145,3,3,3,3,3,3,3,3,3,1
314512,3145,3,3,3,3,3,3,3,3,3,1
314513,3145,3,3,2,3,3,3,3,3,2,1
314514,3145,3,3,3,3,3,3,3,3,3,1
314601,3146,3,3,3,3,3,3,3,3,3,1
314602,3146,1,1,3,3,2,3,3,3,2,1
314603,3146,0,0,0,0,0,0,0,0,0,1
314604,3146,2,3,2,2,2,3,3,3,3,1
314605,3146,2,2,2,2,2,3,3,3,3,1
314606,3146,3,3,1,3,3,3,3,3,3,1
314701,3147,2,2,2,2,3,3,3,3,2,1
314702,3147,1,2,2,1,1,2,2,3,1,1
314703,3147,2,3,3,3,3,3,3,3,3,1
314704,3147,3,3,3,3,3,3,3,3,3,1
314705,3147,3,2,2,3,3,3,3,3,3,1
314706,3147,2,1,2,3,3,2,3,3,2,1
